Model,Aesthetic Quality,Imaging Quality,Background Consistency,Temporal Flickering,Dynamic Degree,Motion Smoothness,HPSv3 Quality,Scene Adherence,Subject Adherence,Navigation Trajectory,Event Edit Adherence,Subject Action Adherence,Perspective Switch Adherence,Spatial Consistency,Gated Spatial Consistency,Perspective Consistency,Segment Continuity,Geometric Consistency,Photometric Consistency,Subject Consistency Cross-Model,Physical Plausibility,Physics Fidelity
HY-Video 1.5,63.4,67.37,92.14,94.24,73.89,98.72,67.97,77.55,93.56,71.79,63.8,55.6,27.6,79.19,75.12,86.57,99.36,94.59,80.26,91.64,59.73,75.0
Kling 3.0,62.96,68.11,92.31,93.16,97.45,97.63,69.08,89.04,92.88,70.32,81.4,85.6,55.0,75.25,75.14,76.75,92.99,88.92,79.88,88.5,60.67,78.0
Cosmos 2.5,61.76,66.88,92.29,94.8,49.04,98.17,66.45,72.42,94.25,64.07,48.2,41.6,20.0,78.13,74.32,84.26,94.27,94.57,81.61,92.3,60.06,74.7
LTX 2.3,57.87,60.99,88.34,93.21,98.09,96.43,56.08,81.28,89.18,67.64,53.0,51.8,25.0,70.17,70.17,69.75,75.8,76.94,79.22,87.15,55.74,74.0
Seedance 1.5,60.99,69.32,89.56,92.44,99.36,97.48,73.04,71.62,94.25,67.96,80.4,80.0,45.0,72.69,72.42,70.53,96.18,82.36,76.85,90.06,60.74,76.0
Wan 2.7,61.44,68.01,89.43,92.19,100.0,96.35,71.13,88.32,94.58,65.97,84.0,83.4,55.0,71.0,71.0,78.22,92.36,83.66,76.39,90.74,60.32,83.3
Kairos 3.0,59.89,62.71,91.09,95.39,70.06,97.52,58.47,52.17,88.49,65.07,46.8,41.4,13.3,76.78,62.01,76.29,94.27,88.98,80.79,90.82,58.03,62.7
LongCat-Video,66.5,69.58,95.1,94.79,45.86,97.9,77.64,53.12,91.51,63.1,50.4,48.4,18.3,83.34,66.23,81.5,99.36,95.41,82.22,93.4,61.77,76.0
YUME 1.5,58.72,63.3,90.31,93.03,96.82,97.02,57.03,53.08,91.69,72.03,57.8,47.0,16.7,71.46,71.4,48.02,99.36,88.0,83.31,88.77,57.7,72.7
Astra,48.6,52.51,85.31,96.04,79.62,97.67,28.03,43.38,75.89,67.67,,,,64.72,63.3,29.99,86.62,85.63,87.54,83.54,54.59,48.3
Fantasy-World,62.95,62.79,94.18,95.82,49.04,97.88,65.79,52.37,90.14,72.12,,,,80.56,64.23,79.84,100.0,95.27,84.85,92.5,59.66,74.0
HY-GameCraft,52.62,58.72,86.5,93.67,96.82,97.63,38.26,50.65,82.47,67.76,,,,60.51,60.51,17.89,99.36,88.34,84.99,82.61,56.53,68.3
Genie 3,51.59,59.29,90.7,94.98,92.36,97.79,55.16,61.08,83.84,73.33,,,,79.89,78.39,54.48,93.63,88.57,84.48,90.38,59.67,71.7
Happy Oyster,56.63,63.9,91.4,94.0,94.23,96.95,58.28,57.37,91.11,85.13,,,,77.7,75.83,74.96,96.15,87.15,79.78,91.53,57.64,69.3
HY-World 1.5,60.06,65.44,92.69,93.55,91.08,98.11,60.54,53.5,90.82,87.53,,,,90.63,84.92,62.53,100.0,91.96,83.12,89.14,58.58,74.0
Infinite-World,58.68,66.09,88.75,94.07,82.8,98.02,62.27,54.04,84.52,75.88,,,,74.9,74.37,33.75,100.0,94.27,85.11,88.4,57.22,67.0
InSpatio-World,64.39,67.56,95.03,96.05,26.11,98.8,76.07,51.68,91.1,72.84,,,,93.8,66.47,72.45,100.0,97.28,87.39,94.42,63.11,67.3
LingBot-World,66.9,67.92,96.9,94.07,66.24,96.91,81.44,51.59,93.56,79.81,,,,92.69,67.14,90.9,99.36,95.37,83.3,93.46,64.79,77.7
MatrixGame2,54.04,60.33,86.86,94.62,94.9,98.16,40.97,49.42,84.86,80.59,,,,64.51,64.51,29.24,21.02,86.1,81.31,87.24,55.04,59.3
MatrixGame3,46.35,70.02,85.72,86.28,97.45,95.36,57.12,48.85,78.36,83.54,,,,81.03,80.37,13.33,89.81,87.59,75.26,83.04,53.98,64.7
